PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,MIN,AVG_SPEED_OFF,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,HEIGHT
Marvin Williams,101107,CHA,31,4.81,0.494,0.506,0.392,0.481,0.101,0.046,0.132,0.291,81
Chris Paul,101108,LAC,31,4.28,0.705,0.295,0.544,0.253,0.29,0.113,0.182,0.253,72
Channing Frye,101112,CLE,19,4.2,0.323,0.677,0.287,0.642,0.108,0.024,0.172,0.179,83
CJ Miles,101139,IND,23,4.32,0.39,0.61,0.311,0.566,0.096,0.161,0.183,0.215,78
Monta Ellis,101145,IND,27,4.36,0.724,0.276,0.623,0.233,0.271,0.157,0.176,0.351,75
Amir Johnson,101161,BOS,20,4.18,0.899,0.101,0.828,0.052,0.021,0.139,0.185,0.808,81
Marcin Gortat,101162,WAS,31,4.42,0.999,0.001,0.856,0,0.134,0.067,0.125,0.721,83
Jahlil Okafor,1626143,PHI,23,4.33,0.992,0.008,0.853,0.003,0.14,0.053,0.152,0.713,83
Emmanuel Mudiay,1626144,DEN,26,4.93,0.744,0.256,0.585,0.255,0.179,0.141,0.143,0.406,77
Tyus Jones,1626145,MIN,13,4.58,0.66,0.34,0.513,0.308,0.077,0.16,0.186,0.436,74
Montrezl Harrell,1626149,HOU,18,4.47,0.989,0.011,0.829,0,0.029,0.186,0.164,0.8,80
Sam Dekker,1626155,HOU,18,5.1,0,0,0,0,0,0,0,0,81
D'Angelo Russell,1626156,LAL,29,4.8,0.613,0.387,0.497,0.37,0.161,0.151,0.123,0.336,77
Karl-Anthony Towns,1626157,MIN,37,4.24,0.924,0.076,0.792,0.06,0.259,0.058,0.154,0.532,84
Richaun Holmes,1626158,PHI,20,4.51,0.802,0.198,0.739,0.084,0.042,0.101,0.136,0.697,82
Justise Winslow,1626159,MIA,35,4.49,0.749,0.251,0.649,0.191,0.112,0.231,0.167,0.538,79
Willie Cauley-Stein,1626161,SAC,19,4.44,0.994,0.006,0.825,0,0.052,0.21,0.114,0.773,84
Kelly Oubre Jr.,1626162,WAS,20,4.3,0.626,0.374,0.551,0.318,0.034,0.165,0.161,0.517,79
Frank Kaminsky,1626163,CHA,26,4.9,0.615,0.385,0.485,0.337,0.05,0.058,0.107,0.436,84
Devin Booker,1626164,PHX,35,4.49,0.667,0.333,0.511,0.283,0.197,0.21,0.174,0.315,78
Myles Turner,1626167,IND,31,4.51,0.974,0.026,0.843,0.015,0.381,0.074,0.137,0.462,83
Trey Lyles,1626168,UTA,17,4.4,0.706,0.294,0.582,0.301,0.189,0.068,0.17,0.393,82
Stanley Johnson,1626169,DET,17,4.56,0.658,0.342,0.546,0.319,0.132,0.201,0.15,0.415,79
Bobby Portis,1626171,CHI,15,4.71,0.881,0.119,0.78,0.11,0.243,0.11,0.108,0.537,83
Rashad Vaughn,1626173,MIL,11,4.46,0.447,0.553,0.35,0.594,0.157,0.18,0.226,0.194,78
Rondae Hollis-Jefferson,1626178,BKN,22,4.92,0.899,0.101,0.707,0.072,0.228,0.251,0.263,0.479,79
Terry Rozier,1626179,BOS,17,4.82,0.745,0.255,0.639,0.25,0.222,0.083,0.139,0.417,74
Norman Powell,1626181,TOR,18,4.69,0.611,0.389,0.447,0.396,0.139,0.238,0.198,0.308,76
Jarell Martin,1626185,MEM,13,4.77,0.983,0.017,0.706,0,0.209,0.085,0.118,0.497,82
Josh Richardson,1626196,MIA,29,4.52,0.577,0.423,0.411,0.466,0.135,0.103,0.103,0.276,78
Larry Nance Jr.,1626204,LAL,22,4.77,0.967,0.033,0.9,0.009,0.229,0.175,0.189,0.67,81
Mario Hezonja,1626209,ORL,14,4.51,0.541,0.459,0.477,0.421,0.184,0.157,0.215,0.293,80
Alan Williams,1626210,PHX,15,4.53,1,0,0.69,0,0.069,0,0,0.621,80
Cristiano Felicio,1626245,CHI,16,4.5,0.944,0.056,0.762,0,0.19,0.095,0.229,0.571,81
Salah Mejri,1626257,DAL,13,4.21,0.987,0.013,0.784,0,0,0.072,0.112,0.784,86
Marcelo Huertas,1626273,LAL,10,4.94,0.735,0.265,0.684,0.203,0.203,0.08,0.118,0.481,75
Vince Carter,1713,MEM,24,4.16,0.507,0.493,0.375,0.448,0.116,0.094,0.208,0.258,78
Dirk Nowitzki,1717,DAL,27,3.7,0.692,0.308,0.542,0.276,0.382,0.063,0.138,0.16,84
Paul Pierce,1718,LAC,12,3.77,0.39,0.61,0.331,0.54,0.192,0.127,0.151,0.139,79
Manu Ginobili,1938,SAS,19,4.42,0.589,0.411,0.458,0.378,0.119,0.09,0.162,0.339,78
LaMarcus Aldridge,200746,SAS,33,4.15,0.985,0.015,0.805,0,0.343,0.053,0.153,0.463,83
Rudy Gay,200752,SAC,34,4.39,0.786,0.214,0.651,0.184,0.176,0.178,0.167,0.475,80
JJ Redick,200755,LAC,28,4.91,0.522,0.478,0.362,0.489,0.253,0.113,0.15,0.109,76
Thabo Sefolosha,200757,ATL,26,4.67,0.668,0.332,0.608,0.263,0.121,0.221,0.315,0.488,79
Kyle Lowry,200768,TOR,37,4.32,0.543,0.457,0.367,0.389,0.095,0.173,0.175,0.272,72
Paul Millsap,200794,ATL,34,4.4,0.782,0.218,0.617,0.16,0.117,0.094,0.186,0.5,80
J.J. Barea,200826,DAL,22,4.49,0.634,0.366,0.537,0.371,0.139,0.099,0.177,0.399,72
Mike Conley,201144,MEM,33,4.58,0.691,0.309,0.504,0.273,0.145,0.114,0.179,0.359,73
Rodney Stuckey,201155,IND,18,4.28,0.813,0.187,0.631,0.116,0.248,0.242,0.186,0.383,77
Nick Young,201156,LAL,26,4.29,0.363,0.637,0.25,0.589,0.199,0.12,0.143,0.051,79
Josh McRoberts,201177,MIA,17,4.53,0.669,0.331,0.573,0.24,0.133,0.04,0.12,0.44,82
Marc Gasol,201188,MEM,34,3.8,0.996,0.004,0.757,0.007,0.33,0.027,0.135,0.427,85
Russell Westbrook,201566,OKC,35,4.72,0.764,0.236,0.591,0.161,0.153,0.265,0.15,0.438,75
Kevin Love,201567,CLE,31,4.25,0.551,0.449,0.407,0.384,0.125,0.059,0.138,0.282,82
Danilo Gallinari,201568,DEN,34,4.44,0.659,0.341,0.386,0.252,0.143,0.115,0.133,0.243,82
Brook Lopez,201572,BKN,30,4.3,0.988,0.012,0.785,0.004,0.192,0.023,0.102,0.593,84
Alexis Ajinca,201582,NOP,14,4.65,0.997,0.003,0.852,0,0.352,0.014,0.094,0.5,86
Kosta Koufos,201585,SAC,20,4.4,1,0,0.892,0,0.03,0.06,0.123,0.862,84
Nicolas Batum,201587,CHA,34,4.67,0.543,0.457,0.446,0.399,0.207,0.115,0.171,0.239,80
Darrell Arthur,201589,DEN,15,4.35,0.761,0.239,0.668,0.256,0.38,0.085,0.139,0.288,81
DeAndre Jordan,201599,LAC,32,3.97,0.998,0.002,0.729,0,0.002,0.089,0.137,0.727,83
Omer Asik,201600,NOP,16,4.46,1,0,0.773,0,0,0.03,0.074,0.773,84
Luc Mbah a Moute,201601,LAC,22,4.39,0.807,0.193,0.701,0.169,0.087,0.225,0.156,0.615,80
Goran Dragic,201609,MIA,33,4.84,0.766,0.234,0.694,0.189,0.185,0.207,0.183,0.509,75
Blake Griffin,201933,LAC,34,3.96,0.97,0.03,0.788,0.024,0.32,0.132,0.139,0.467,82
James Harden,201935,HOU,36,4.06,0.594,0.406,0.399,0.298,0.108,0.194,0.166,0.291,77
Ricky Rubio,201937,MIN,33,4.51,0.676,0.324,0.41,0.243,0.222,0.166,0.163,0.188,76
