PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
201166,Aaron Brooks,1610612741,CHI,69,36,33,1108.0,30,10,80,34,59,0.576
203932,Aaron Gordon,1610612753,ORL,77,32,45,1857.0,59,55,352,146,277,0.527
1626151,Aaron Harrison,1610612766,CHA,21,15,6,93.0,6,0,11,1,4,0.25
203940,Adreian Payne,1610612750,MIN,52,18,34,486.0,16,11,91,62,96,0.646
201143,Al Horford,1610612737,ATL,82,48,34,2631.0,68,121,448,337,682,0.494
2744,Al Jefferson,1610612766,CHA,47,33,14,1096.0,30,41,244,141,256,0.551
202329,Al-Farouq Aminu,1610612757,POR,82,44,38,2341.0,72,53,401,137,271,0.506
101187,Alan Anderson,1610612764,WAS,13,8,5,192.0,4,1,26,7,12,0.583
1626210,Alan Williams,1610612756,PHX,10,3,7,68.0,4,5,24,7,19,0.368
202692,Alec Burks,1610612762,UTA,31,13,18,797.0,18,4,93,43,67,0.642
203458,Alex Len,1610612756,PHX,78,23,55,1821.0,38,62,416,224,443,0.506
1627293,Alex Stepheson,1610612763,MEM,8,2,6,72.0,1,5,9,11,26,0.423
201582,Alexis Ajinca,1610612740,NOP,59,20,39,861.0,19,36,194,93,190,0.489
203459,Allen Crabbe,1610612757,POR,81,43,38,2105.0,63,16,189,49,103,0.476
202087,Alonzo Gee,1610612740,NOP,73,27,46,1632.0,63,13,185,80,140,0.571
2405,Amar'e Stoudemire,1610612748,MIA,52,30,22,762.0,18,41,157,105,208,0.505
101161,Amir Johnson,1610612738,BOS,78,44,34,1777.0,51,81,321,217,458,0.474
2760,Anderson Varejao,1610612744,GSW,53,41,12,496.0,16,10,104,64,114,0.561
203083,Andre Drummond,1610612765,DET,81,43,38,2666.0,119,112,803,360,685,0.526
2738,Andre Iguodala,1610612744,GSW,65,59,6,1732.0,73,19,211,71,120,0.592
1889,Andre Miller,1610612759,SAS,39,20,19,461.0,16,0,39,13,20,0.65
203460,Andre Roberson,1610612760,OKC,70,48,22,1553.0,53,42,172,69,132,0.523
200745,Andrea Bargnani,1610612751,BKN,46,11,35,634.0,4,9,69,61,93,0.656
101106,Andrew Bogut,1610612744,GSW,70,62,8,1451.0,33,114,371,204,451,0.452
202726,Andrew Goudelock,1610612745,HOU,8,5,3,50.0,6,2,1,3,3,1.0
203094,Andrew Nicholson,1610612753,ORL,55,22,33,820.0,10,22,167,89,161,0.553
203952,Andrew Wiggins,1610612750,MIN,81,29,52,2845.0,78,46,186,112,207,0.541
203461,Anthony Bennett,1610612761,TOR,19,12,7,84.0,5,0,17,9,9,1.0
1626148,Anthony Brown,1610612747,LAL,29,4,25,599.0,14,5,61,29,44,0.659
203076,Anthony Davis,1610612740,NOP,61,24,37,2164.0,78,125,497,179,375,0.477
201627,Anthony Morrow,1610612760,OKC,68,46,22,926.0,22,5,52,34,58,0.586
201229,Anthony Tolliver,1610612765,DET,72,36,36,1341.0,26,16,190,85,164,0.518
203462,Archie Goodwin,1610612756,PHX,57,14,43,1114.0,27,13,115,39,70,0.557
203382,Aron Baynes,1610612765,DET,81,43,38,1233.0,21,52,244,210,406,0.517
201167,Arron Afflalo,1610612752,NYK,71,27,44,2371.0,25,10,243,50,85,0.588
203085,Austin Rivers,1610612746,LAC,67,42,25,1464.0,48,9,108,36,87,0.414
202340,Avery Bradley,1610612738,BOS,75,44,31,2507.0,114,19,169,60,115,0.522
1626253,Axel Toupane,1610612743,DEN,21,9,12,305.0,7,6,23,10,17,0.588
203463,Ben McLemore,1610612758,SAC,67,28,39,1418.0,52,10,111,61,105,0.581
2757,Beno Udrih,1610612763,MEM,44,26,18,708.0,14,1,64,24,42,0.571
202687,Bismack Biyombo,1610612761,TOR,81,55,26,1787.0,19,132,469,248,549,0.452
201933,Blake Griffin,1610612746,LAC,35,22,13,1170.0,28,17,243,87,153,0.569
1626246,Boban Marjanovic,1610612759,SAS,54,47,7,508.0,12,23,121,62,136,0.456
1626171,Bobby Portis,1610612741,CHI,62,29,33,1102.0,25,22,214,127,230,0.552
202711,Bojan Bogdanovic,1610612751,BKN,79,21,58,2115.0,29,5,219,107,164,0.652
2564,Boris Diaw,1610612759,SAS,76,64,12,1386.0,26,21,175,114,220,0.518
203078,Bradley Beal,1610612764,WAS,55,28,27,1708.0,54,11,147,60,100,0.6
201148,Brandan Wright,1610612763,MEM,12,6,6,212.0,5,15,29,15,36,0.417
1626183,Branden Dawson,1610612746,LAC,6,5,1,29.0,0,1,2,3,5,0.6
101138,Brandon Bass,1610612747,LAL,66,16,50,1342.0,33,55,181,135,246,0.549
201943,Brandon Jennings,1610612753,ORL,48,20,28,868.0,29,7,80,24,36,0.667
202688,Brandon Knight,1610612756,PHX,52,16,36,1870.0,61,20,166,45,73,0.616
201575,Brandon Rush,1610612744,GSW,72,63,9,1055.0,20,23,160,55,111,0.495
203148,Brian Roberts,1610612757,POR,51,26,25,470.0,10,2,35,11,24,0.458
1627362,Briante Weber,1610612748,MIA,7,3,4,169.0,9,3,17,3,7,0.429
201572,Brook Lopez,1610612751,BKN,73,21,52,2457.0,58,124,369,334,711,0.47
203998,Bruno Caboclo,1610612761,TOR,6,6,0,43.0,2,1,1,2,5,0.4
203955,Bryce Cotton,1610612763,MEM,8,1,7,39.0,3,0,0,0,1,0.0
1626214,Bryce Dejean-Jones,1610612740,NOP,14,8,6,279.0,10,2,40,11,24,0.458
203468,CJ McCollum,1610612757,POR,80,44,36,2780.0,97,23,212,87,158,0.551
101139,CJ Miles,1610612754,IND,64,34,30,1464.0,53,29,150,71,146,0.486
201228,CJ Watson,1610612753,ORL,33,14,19,656.0,19,5,56,26,38,0.684
203912,CJ Wilcox,1610612746,LAC,23,15,8,167.0,10,2,11,8,11,0.727
203946,Cameron Bairstow,1610612765,DET,18,4,14,103.0,2,3,24,6,19,0.316
1626166,Cameron Payne,1610612760,OKC,57,44,13,698.0,36,6,76,29,49,0.592
201171,Carl Landry,1610612755,PHI,36,5,31,569.0,12,9,97,71,118,0.602
2546,Carmelo Anthony,1610612752,NYK,72,32,40,2530.0,62,38,458,85,157,0.541
2406,Caron Butler,1610612758,SAC,16,2,14,168.0,8,1,17,7,15,0.467
202718,Chandler Parsons,1610612742,DAL,61,29,32,1799.0,46,21,256,48,96,0.5
101112,Channing Frye,1610612739,CLE,69,35,34,1177.0,29,24,193,103,200,0.515
101236,Charles Hayes,1610612746,LAC,2,1,1,24.0,0,0,8,3,13,0.231
101111,Charlie Villanueva,1610612742,DAL,62,29,33,665.0,18,15,128,51,92,0.554
201978,Chase Budinger,1610612756,PHX,66,29,37,930.0,32,10,107,38,70,0.543
2365,Chris Andersen,1610612763,MEM,27,11,16,403.0,15,13,62,63,106,0.594
2547,Chris Bosh,1610612748,MIA,53,29,24,1778.0,36,34,342,140,273,0.513
203142,Chris Copeland,1610612749,MIL,24,10,14,156.0,2,0,9,11,21,0.524
203187,Chris Johnson,1610612762,UTA,70,38,32,857.0,32,20,105,35,72,0.486
2549,Chris Kaman,1610612757,POR,16,11,5,112.0,1,1,17,11,21,0.524
1626191,Chris McCullough,1610612751,BKN,24,7,17,362.0,28,12,43,39,66,0.591
101108,Chris Paul,1610612746,LAC,74,50,24,2420.0,152,13,271,72,131,0.55
1626174,Christian Wood,1610612755,PHI,17,0,17,145.0,5,7,25,20,48,0.417
203921,Cleanthony Early,1610612752,NYK,17,6,11,154.0,2,3,22,8,12,0.667
1626146,Cliff Alexander,1610612757,POR,8,3,5,36.0,1,2,4,2,7,0.286
203991,Clint Capela,1610612745,HOU,77,39,38,1471.0,59,92,300,232,471,0.493
203469,Cody Zeller,1610612766,CHA,73,42,31,1774.0,57,63,317,207,430,0.481
202332,Cole Aldrich,1610612746,LAC,60,41,19,800.0,47,68,202,139,283,0.491
201147,Corey Brewer,1610612745,HOU,82,41,41,1669.0,84,19,157,84,139,0.604
203928,Cory Jefferson,1610612756,PHX,8,2,6,50.0,0,1,10,7,17,0.412
202709,Cory Joseph,1610612761,TOR,79,53,26,2011.0,61,20,169,71,155,0.458
1626262,Coty Clarke,1610612738,BOS,3,0,3,6.0,0,0,1,0,0,0.0
201584,Courtney Lee,1610612766,CHA,79,49,30,2334.0,85,28,176,56,94,0.596
1626245,Cristiano Felicio,1610612741,CHI,31,14,17,321.0,6,13,72,34,80,0.425
1626156,D'Angelo Russell,1610612747,LAL,80,17,63,2259.0,93,13,227,99,159,0.623
201571,D.J. Augustin,1610612743,DEN,62,35,27,1178.0,38,4,87,34,46,0.739
2563,Dahntay Jones,1610612739,CLE,1,0,1,42.0,1,2,4,1,2,0.5
203081,Damian Lillard,1610612757,POR,75,40,35,2676.0,65,28,257,72,125,0.576
203996,Damien Inglis,1610612749,MIL,20,5,15,156.0,6,3,29,11,24,0.458
204014,Damjan Rudez,1610612750,MIN,33,9,24,277.0,3,1,15,14,27,0.519
201568,Danilo Gallinari,1610612743,DEN,53,22,31,1839.0,42,19,229,73,136,0.537
201980,Danny Green,1610612759,SAS,79,65,14,2062.0,79,64,255,92,187,0.492
201967,Dante Cunningham,1610612740,NOP,80,28,52,1971.0,42,33,179,104,174,0.598
201589,Darrell Arthur,1610612743,DEN,70,26,44,1516.0,53,48,207,139,286,0.486
201954,Darren Collison,1610612758,SAC,73,29,44,2192.0,77,3,140,41,59,0.695
1626199,Darrun Hilliard,1610612765,DET,38,17,21,383.0,9,1,40,7,12,0.583
101135,David Lee,1610612742,DAL,54,26,28,888.0,21,27,202,112,206,0.544
2561,David West,1610612759,SAS,78,63,15,1404.0,44,55,237,144,300,0.48
201599,DeAndre Jordan,1610612746,LAC,77,51,26,2598.0,51,177,792,287,619,0.464
201971,DeJuan Blair,1610612764,WAS,29,12,17,218.0,8,2,37,28,45,0.622
201942,DeMar DeRozan,1610612761,TOR,77,52,25,2764.0,80,20,276,81,128,0.633
202326,DeMarcus Cousins,1610612758,SAC,64,29,35,2221.0,101,91,586,278,552,0.504
201960,DeMarre Carroll,1610612761,TOR,26,16,10,786.0,44,6,91,41,62,0.661
1626153,Delon Wright,1610612761,TOR,27,19,8,229.0,8,3,29,11,22,0.5
203471,Dennis Schroder,1610612737,ATL,80,47,33,1621.0,70,9,179,43,96,0.448
101114,Deron Williams,1610612742,DAL,65,31,34,2106.0,61,14,171,61,104,0.587
