PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,OPP_FGM_RA,OPP_FGA_RA,OPP_FG_PCT_RA,OPP_FGM_NRA,OPP_FGA_NRA,OPP_FG_PCT_NRA,OPP_FGM_MR,OPP_FGA_MR,OPP_FG_PCT_MR,OPP_FGM_LC3,OPP_FGA_LC3,OPP_FG_PCT_LC3,OPP_FGM_RC3,OPP_FGA_RC3,OPP_FG_PCT_RC3,OPP_FGM_AB3,OPP_FGA_AB3,OPP_FG_PCT_AB3,OPP_FGM,OPP_FGA,OPP_FG_PCT
1626151,Aaron Harrison,1610612766,CHA,21.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,1.5,2.5,0.6,,,
201143,Al Horford,1610612737,ATL,30.0,10.3,20.6,0.5,1.7,4.8,0.354,3.7,10.8,0.343,1.5,3.5,0.429,1.8,3.6,0.5,6.4,16.7,0.383,0.0,0.2,0.0
2744,Al Jefferson,1610612766,CHA,31.0,7.6,11.4,0.663,3.7,7.4,0.5,4.7,11.4,0.413,0.7,1.4,0.5,1.3,2.0,0.667,3.0,6.3,0.477,0.0,0.0,0.0
202329,Al-Farouq Aminu,1610612757,POR,25.0,10.3,16.9,0.608,3.7,10.0,0.373,7.0,16.4,0.428,1.1,2.4,0.458,0.7,2.3,0.32,5.2,13.9,0.373,0.0,0.2,0.0
203459,Allen Crabbe,1610612757,POR,24.0,9.8,14.6,0.671,3.5,7.8,0.442,4.9,12.5,0.391,0.5,1.4,0.357,0.9,1.6,0.571,3.8,11.0,0.347,0.0,0.3,0.0
2405,Amar'e Stoudemire,1610612748,MIA,33.0,3.0,4.9,0.614,1.6,3.6,0.448,1.3,3.6,0.375,0.0,0.2,0.0,0.0,0.0,0.0,0.4,2.6,0.174,0.0,0.3,0.0
101161,Amir Johnson,1610612738,BOS,29.0,8.8,15.0,0.589,1.7,4.2,0.4,2.0,6.5,0.308,0.5,2.2,0.231,0.7,1.7,0.4,3.5,11.2,0.313,0.0,0.0,0.0
2760,Anderson Varejao,1610612744,GSW,33.0,2.0,3.2,0.63,0.9,2.1,0.441,0.9,1.9,0.5,0.3,0.7,0.375,0.2,0.6,0.4,0.1,1.3,0.1,0.0,0.1,0.0
203083,Andre Drummond,1610612765,DET,22.0,8.0,13.5,0.593,2.3,6.0,0.375,5.5,12.0,0.458,1.3,3.3,0.385,2.0,4.5,0.444,7.0,17.8,0.394,0.0,0.0,0.0
2738,Andre Iguodala,1610612744,GSW,32.0,10.7,18.0,0.593,3.5,9.4,0.369,5.0,11.3,0.443,0.9,2.5,0.356,0.8,2.1,0.4,4.3,12.7,0.339,0.0,0.3,0.0
1889,Andre Miller,1610612759,SAS,40.0,3.5,5.0,0.7,0.0,0.3,0.0,1.0,3.0,0.333,0.7,0.7,1.0,0.3,1.3,0.2,1.0,2.5,0.4,0.0,0.0,0.0
203460,Andre Roberson,1610612760,OKC,24.0,8.2,15.3,0.535,2.4,5.8,0.419,5.1,11.9,0.428,0.8,1.8,0.424,0.7,1.6,0.464,4.0,10.3,0.389,0.0,0.4,0.0
101106,Andrew Bogut,1610612744,GSW,31.0,4.5,9.4,0.476,2.0,6.1,0.328,2.9,6.5,0.441,0.5,1.5,0.313,0.4,1.5,0.25,2.0,6.6,0.308,0.0,0.0,0.0
202726,Andrew Goudelock,1610612745,HOU,27.0,0.5,1.5,0.333,0.5,2.5,0.2,1.5,4.0,0.375,0.0,0.5,0.0,,,,1.0,2.5,0.4,0.0,0.0,0.0
201627,Anthony Morrow,1610612760,OKC,30.0,2.8,4.5,0.633,0.9,2.2,0.4,0.7,3.1,0.216,0.0,0.4,0.0,0.0,0.6,0.0,1.0,2.5,0.4,0.0,0.0,0.0
201229,Anthony Tolliver,1610612765,DET,31.0,2.7,3.7,0.727,1.3,2.3,0.571,1.0,2.7,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.0,0.333,,,
203382,Aron Baynes,1610612765,DET,29.0,3.8,5.5,0.682,1.8,3.0,0.583,1.3,4.8,0.263,0.0,0.3,0.0,1.0,2.0,0.5,2.0,4.3,0.471,0.0,0.0,0.0
203085,Austin Rivers,1610612746,LAC,23.0,7.2,11.7,0.614,1.8,6.2,0.297,3.3,10.2,0.328,0.8,2.0,0.375,1.0,2.0,0.5,4.0,10.0,0.4,0.0,0.0,0.0
202340,Avery Bradley,1610612738,BOS,25.0,18.0,25.0,0.72,2.0,6.0,0.333,4.0,13.0,0.308,2.0,4.0,0.5,0.0,2.0,0.0,2.0,15.0,0.133,0.0,0.0,0.0
202687,Bismack Biyombo,1610612761,TOR,23.0,7.2,12.7,0.569,2.3,5.3,0.434,4.2,9.9,0.419,1.1,2.8,0.373,1.1,2.3,0.462,2.9,8.7,0.333,0.0,0.1,0.0
201933,Blake Griffin,1610612746,LAC,27.0,10.8,22.0,0.489,2.0,6.5,0.308,4.8,10.5,0.452,0.3,2.3,0.143,1.3,3.3,0.385,4.8,15.8,0.302,0.0,0.0,0.0
1626246,Boban Marjanovic,1610612759,SAS,27.0,2.3,3.5,0.667,0.0,0.4,0.0,1.3,3.0,0.444,0.6,0.6,1.0,0.5,1.3,0.4,0.8,2.3,0.357,0.0,0.0,0.0
2564,Boris Diaw,1610612759,SAS,34.0,6.3,11.0,0.576,1.1,3.6,0.313,3.3,8.6,0.39,0.6,1.3,0.5,0.4,0.4,1.0,1.1,4.4,0.25,0.0,0.4,0.0
201575,Brandon Rush,1610612744,GSW,30.0,2.4,4.4,0.548,1.1,2.4,0.452,0.9,2.7,0.316,0.1,0.7,0.2,0.9,1.4,0.6,1.2,3.7,0.333,0.0,0.3,0.0
203148,Brian Roberts,1610612757,POR,30.0,1.3,1.9,0.667,0.7,1.3,0.5,0.6,1.9,0.308,0.0,0.5,0.0,0.8,0.8,1.0,0.6,1.9,0.316,0.0,0.0,0.0
1627362,Briante Weber,1610612748,MIA,23.0,1.0,2.0,0.5,0.0,1.5,0.0,0.5,2.5,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
203468,CJ McCollum,1610612757,POR,24.0,12.9,20.6,0.626,5.1,13.3,0.384,7.9,18.7,0.422,0.9,2.1,0.429,1.0,2.7,0.367,5.0,14.9,0.335,0.0,0.3,0.0
101139,CJ Miles,1610612754,IND,29.0,4.7,8.3,0.569,1.4,3.3,0.435,1.6,4.1,0.379,0.4,1.4,0.3,0.4,1.0,0.429,1.6,6.0,0.262,0.0,0.0,0.0
203912,CJ Wilcox,1610612746,LAC,25.0,1.5,2.5,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,1.5,0.0,0.0,0.0,0.0
1626166,Cameron Payne,1610612760,OKC,21.0,2.3,3.6,0.656,0.9,2.1,0.412,0.8,3.0,0.259,0.2,1.0,0.2,0.0,0.4,0.0,1.2,2.8,0.44,0.0,0.0,0.0
101112,Channing Frye,1610612739,CLE,33.0,3.5,5.6,0.632,1.1,3.2,0.333,1.9,5.1,0.372,0.5,1.3,0.35,0.1,0.7,0.111,2.4,6.4,0.367,0.0,0.0,0.0
101111,Charlie Villanueva,1610612742,DAL,31.0,1.0,2.5,0.4,0.0,0.7,0.0,2.5,4.0,0.625,0.5,0.5,1.0,0.5,1.5,0.333,1.3,3.7,0.364,0.0,0.0,0.0
2365,Chris Andersen,1610612763,MEM,37.0,5.8,10.0,0.575,0.8,4.3,0.176,4.8,9.8,0.487,1.3,2.3,0.556,0.5,0.8,0.667,2.0,4.5,0.444,0.0,0.0,0.0
2549,Chris Kaman,1610612757,POR,34.0,2.5,3.8,0.667,0.5,3.0,0.167,0.8,2.8,0.273,0.0,1.0,0.0,0.5,1.0,0.5,0.5,2.5,0.2,0.0,0.3,0.0
101108,Chris Paul,1610612746,LAC,31.0,10.3,21.5,0.477,2.0,6.3,0.32,4.5,10.3,0.439,0.3,2.0,0.125,0.8,2.5,0.3,4.3,14.5,0.293,0.0,0.0,0.0
203991,Clint Capela,1610612745,HOU,22.0,3.2,4.6,0.696,0.6,2.6,0.231,1.6,3.4,0.471,0.3,0.7,0.5,1.0,1.0,1.0,1.2,3.6,0.333,0.0,0.3,0.0
203469,Cody Zeller,1610612766,CHA,23.0,5.9,10.3,0.569,3.1,6.7,0.468,2.4,8.4,0.288,0.3,1.9,0.154,1.0,2.3,0.438,1.4,4.6,0.313,0.0,0.7,0.0
202332,Cole Aldrich,1610612746,LAC,27.0,4.7,6.7,0.7,0.5,2.3,0.214,2.2,6.0,0.361,0.3,0.5,0.5,0.5,1.5,0.333,1.7,4.7,0.357,0.0,0.0,0.0
201147,Corey Brewer,1610612745,HOU,30.0,4.4,7.0,0.629,1.0,3.0,0.333,3.0,8.0,0.375,0.4,1.4,0.286,0.5,1.3,0.4,2.6,7.4,0.351,0.0,0.5,0.0
202709,Cory Joseph,1610612761,TOR,24.0,6.4,10.2,0.631,2.4,5.2,0.466,3.8,8.8,0.426,0.7,1.9,0.351,0.4,1.1,0.368,2.7,7.6,0.355,0.0,0.2,0.0
201584,Courtney Lee,1610612766,CHA,30.0,10.7,16.9,0.636,5.7,12.0,0.476,6.3,17.3,0.364,0.9,2.9,0.3,2.0,3.5,0.571,3.3,8.7,0.377,0.0,0.4,0.0
2563,Dahntay Jones,1610612739,CLE,35.0,0.7,1.6,0.444,0.4,1.2,0.364,0.4,2.0,0.182,0.0,0.3,0.0,0.0,0.6,0.0,0.6,1.7,0.364,0.0,0.0,0.0
203081,Damian Lillard,1610612757,POR,25.0,12.9,20.5,0.631,4.8,11.7,0.411,7.6,18.3,0.418,1.1,2.3,0.48,1.0,2.6,0.379,5.7,16.2,0.354,0.0,0.3,0.0
